,repository_name,language
0,.allstar,
1,.github,
2,10-bit-per-color-demo,C++
3,3rd-party-codes-for-qat-crypto-base-external-release,
4,AALSDK,C++
5,aca,C
6,acat,C#
7,accelerator-solution-zoo,C
8,AccessibilityPlaybook,CSS
9,ACON,Rust
10,acrn-riscv,
11,acrn-workload-consolidation,Python
12,ad-rss-lib,C++
13,adq-k8s-plugins,Go
14,aer-inject,C
15,af-carousel,JavaScript
16,af-range,JavaScript
17,afxdp-plugins-for-kubernetes,Go
18,ai,
19,ai-containers,Python
20,ai-innovation-bridge,Jupyter Notebook
21,AI-Playground,Python
22,ai-reference-models,Python
23,ai-visual-inference-samples,C++
24,ai-workflows,Makefile
25,aib-phy-hardware,Verilog
26,AiCSD,Go
27,AiKit-code-samples,
28,aikit-operator,Makefile
29,aipc-devkit-install,
30,aji_openocd,C
31,alert-handler-for-custom-metrics,Go
32,amx-linux,
33,AMX-TMUL-Code-Samples,C
34,android-apps,Java
35,android-audio-hal,C++
36,android-bluez-bionic,C
37,android-bluez-device-intel-haswell,Shell
38,android-bluez-device-intel-mixins,C
39,android-bluez-glib,C
40,android-bluez-manifest,
41,android-iio-sensors-hal,C
42,android-things-examples,
43,ansible,Python
44,ansible-intel-aws-mysql,
45,ansible-intel-aws-vm,
46,ansible-intel-azure-linux-vm,
47,ansible-intel-gcp-vm,
48,ansible-openstack,Python
49,ansible-rsd-provisioning,Python
50,APKexpansion,Java
51,appframework,CSS
52,appframeworkPlugins,JavaScript
53,applications-iot-rfid-sensor-controller,Vue
54,AppSecurityApi,JavaScript
55,Arduino,C
56,arduino101-ble-demo,C++
57,arduino101_flashpack,Shell
58,arduino101_kconfig,C
59,arduino101_manifest,
60,arduino101_openocd,C
61,ardupilot,C++
62,ARM_NEON_2_x86_SSE,C
63,asynch_mode_nginx,C
64,aubstream,C++
65,AudioLatencyTools,C++
66,authservice-configurator,Go
67,auto-feature-engineering,HTML
68,auto-round,Python
69,automated_enablement_for_intel_ethernet_adapters,
70,AVB-AudioModules,C++
71,AVBStreamHandler,C++
72,aws-iotivity,Java
73,aws-sagemaker-marketplace,Jupyter Notebook
74,azure-applications,Shell
75,backport-iwlwifi,C
76,base64,C
77,BaseKit-code-samples,
78,bat,C
79,baytrailaudio,C
80,BCT,
81,BDTK,C++
82,beignet,C++
83,BigDL-Distributed-Training-and-Inference-Workflow,
84,BigDL-Privacy-Preserving-Machine-Learning-Toolkit,Dockerfile
85,BigDL-Recommender-System-Toolkit,
86,BigDL-Time-Series-Toolkit,
87,bmap-tools,Python
88,Board-Instrumentation-Framework,Java
89,Bootcamp-Materials,Jupyter Notebook
90,branch_hinting_tool,Python
91,brillo-edison-binaries,Python
92,brillo-minnowboard-binaries,
93,buxton,C
94,CacheLib,C++
95,caffe,C++
96,camera_driver,C++
97,cartwheel-ffmpeg,
98,cartwheel-gstreamer,
99,cartwheel-libjpeg-turbo,
100,cassian,C++
101,cc-oci-runtime,C
102,ccc-linux-guest-hardening,Python
103,ccc-linux-guest-hardening-docs,HTML
104,ccloudvm,Go
105,celadon-applications,Java
106,cellular-resource-manager,C
107,ceph-perfbench-cyborg,Python
108,cerl,Python
109,certified-developer,Python
110,CeTune,Python
111,chainer,Python
112,ciao-webui,JavaScript
113,cicd-repo-infrastructure,CMake
114,clDNN,C++
115,clear-linux-dissector,Go
116,clear-linux-dissector-web,Python
117,clear-sans,
118,clGPU,C++
119,clloader,C
120,cloud-client-ai-service-framework,C++
121,cloud-dleyna,JavaScript
122,cloud-native-ai-pipeline,Python
